Date,Total_Consumption
2022-10-05,1135059.4
2022-10-06,911079.92
2022-10-08,926581.34
2022-10-09,568067.39
2022-10-10,860281.25
2022-10-11,912400.25
2022-10-12,943962.07
2022-10-13,930376.85
2022-10-14,943816.82
2022-10-15,883412.28
2022-10-16,840280.73
2022-10-17,935029.22
2022-10-18,949998.55
2022-10-19,950599.15
2022-10-20,953812.95
2022-10-21,965704.49
2022-10-22,902095.16
2022-10-23,800794.26
2022-10-24,719341.18
2022-10-25,705008.29
2022-10-26,733445.89
2022-10-27,804993.63
2022-10-28,845621.75
2022-10-29,819371.8
2022-10-30,759417.46
2022-10-31,823251.91
2022-11-01,848282.98
2022-11-02,864205.36
2022-11-03,856165.44
2022-11-04,874704.48
2022-11-05,848357.12
2022-11-06,813229.79
2022-11-07,929176.4299999999
2022-11-08,982709.8599999999
2022-11-09,858599.83
2022-11-10,771872.15
2022-11-11,892745.6
2022-11-12,774150.63
2022-11-13,732029.77
2022-11-14,791121.52
2022-11-15,811192.24
2022-11-16,804577.54
2022-11-17,789953.11
2022-11-18,802087.18
2022-11-19,754817.76
2022-11-20,729849.18
2022-11-21,767378.53
2022-11-22,781466.8
2022-11-23,781199.38
2022-11-24,784669.08
2022-11-25,804874.41
2022-11-26,756860.46
2022-11-27,730581.97
2022-11-28,770801.97
2022-11-29,780270.86
2022-11-30,475024.03
2022-12-01,108281.38
2022-12-02,724777.96
2022-12-03,729223.07
2022-12-04,715599.92
2022-12-05,772272.34
2022-12-06,792465.73
2022-12-07,809506.38
2022-12-08,793799.1
2022-12-09,814104.09
2022-12-10,358371.66000000003
